,title,time,push_num,link
0,[請益] 融券標借費的風險如何衡量？,9/01,7,https://www.ptt.cc/bbs/Stock/M.1662003973.A.5ED.html
1,Re: [請益] 從千元跌下來的國泰金為何沒人撻伐,9/01,5,https://www.ptt.cc/bbs/Stock/M.1662004007.A.6B3.html
2,[新聞] 美國禁AMD、輝達晶片出口中國！外資：對,9/01,23,https://www.ptt.cc/bbs/Stock/M.1662004676.A.011.html
3,[新聞] 匯銀：台幣本月下測31元,9/01,42,https://www.ptt.cc/bbs/Stock/M.1662004881.A.115.html
4,[新聞] 央行再升息也嚇不了賴正鎰!「房貸利率頂,9/01,99,https://www.ptt.cc/bbs/Stock/M.1662005020.A.15E.html
5,[新聞] 成都下令封城！今18時起超2000萬人「原則,9/01,爆,https://www.ptt.cc/bbs/Stock/M.1662007255.A.E1B.html
6,Re: [新聞] 央行再升息也嚇不了賴正鎰!「房貸利率頂,9/01,34,https://www.ptt.cc/bbs/Stock/M.1662009943.A.E0A.html
7,[標的] 2498宏達電 是在哈囉 ?,9/01,16,https://www.ptt.cc/bbs/Stock/M.1662010114.A.745.html
8,[新聞] 基本工資明年起月薪調高為26400元、時薪,9/01,爆,https://www.ptt.cc/bbs/Stock/M.1662010229.A.8F2.html
9,[標的] 2387.TW 精元 多,9/01,9,https://www.ptt.cc/bbs/Stock/M.1662012411.A.8A5.html
10,Re: [新聞] 基本工資明年起月薪調高為26400元、時薪,9/01,14,https://www.ptt.cc/bbs/Stock/M.1662012685.A.F70.html
11,[情報] 0901 上市投信買賣超排行,9/01,19,https://www.ptt.cc/bbs/Stock/M.1662015247.A.085.html
12,[情報] 111年09月01日 三大法人買賣金額統計表,9/01,45,https://www.ptt.cc/bbs/Stock/M.1662015482.A.F50.html
13,[新聞] Fed梅斯特：利率需升至4%以上 明年不會,9/01,74,https://www.ptt.cc/bbs/Stock/M.1661986574.A.04E.html
14,Re: [標的] SQQQ.US 3x空QQQ 小心熊出沒,9/01,9,https://www.ptt.cc/bbs/Stock/M.1661989813.A.E9F.html
15,[新聞] 鴻海Model C來了！電動車整車工業 啟動,9/01,57,https://www.ptt.cc/bbs/Stock/M.1661991222.A.E22.html
16,[新聞] 聯準會加大縮表力度，加密投資產品交易,9/01,24,https://www.ptt.cc/bbs/Stock/M.1661991789.A.496.html
17,[新聞] 晶圓一哥攻3D IC 結盟兩夥伴,9/01,10,https://www.ptt.cc/bbs/Stock/M.1661993225.A.2D4.html
18,[新聞] 美股連4黑 法人預估台股短線偏整理,9/01,17,https://www.ptt.cc/bbs/Stock/M.1661993566.A.3E0.html
19,Re: [請益] 救命..要違約了...,9/01,19,https://www.ptt.cc/bbs/Stock/M.1661994448.A.E74.html
20,Re: [標的] NVDA/AMD 討論,9/01,17,https://www.ptt.cc/bbs/Stock/M.1661994575.A.45A.html
21,"Re: [情報] 南山人壽111H1綜合損益總額：-4,218億",9/01,15,https://www.ptt.cc/bbs/Stock/M.1661995904.A.AD6.html
22,Re: [請益] 救命..要違約了...,9/01,18,https://www.ptt.cc/bbs/Stock/M.1661996639.A.291.html
23,[標的] 3141 晶宏 空,9/01,7,https://www.ptt.cc/bbs/Stock/M.1661998049.A.4B8.html
24,[新聞] 救運費中國黃金週前貨櫃航運商取消近9%運,9/01,28,https://www.ptt.cc/bbs/Stock/M.1661998626.A.999.html
