募資項目名稱,募資項目網址,目前募資金額,贊助人數,開始時間,結束時間
ToesMerry 百變涼鞋 2.0 ｜台灣製造，人氣鞋款再升級！4 種穿法 X 百變鞋面，全場景都「速配」的穿搭神鞋 !,https://www.zeczec.com//projects/toesmerryv2,330860,225,2022/08/22 20:00,2022/09/22 23:59
日日有影 2023｜生活是電影的本質，電影是生活的淬鍊 ―― 電影日曆陪伴你的 2023 年,https://www.zeczec.com//projects/amovieaday,996907,815,2022/08/31 21:00,2022/10/31 23:59
麻吉手機背貼卡套,https://www.zeczec.com//projects/taiwanimal-mobile,30980,54,2022/08/22 12:00,2022/10/05 23:59
《卡通獨角獸塔羅牌》超奇葩！以獨角獸擬人為主題的塔羅牌！,https://www.zeczec.com//projects/cartoon_unicorn_tarot,7040,8,2022/07/14 12:00,2022/09/30 23:59
小墨曆｜2023 書法水墨學習日曆 feat.學見書房,https://www.zeczec.com//projects/Hsiao-mo-li,190960,176,2022/09/01 21:00,2022/11/10 02:59
《用智慧的鑰匙打開每一天》2023 黃金名言日曆｜每日一句人生智慧，開啟生命之光,https://www.zeczec.com//projects/grimmpress-2,27083,35,2022/08/31 12:05,2022/10/31 23:59
〖 突破 300 萬！解鎖晨光系列色！〗𝙈𝙞𝙟𝙞𝙡𝙮 𝘼𝙞𝙧 大氣涼拖鞋｜𝟭 鞋 𝟰 穿的機能神拖 - 急反彈、強支撐、超耐走！,https://www.zeczec.com//projects/mijily-air,3544981,1612,2022/08/03 12:00,2022/09/30 23:59
全球首幅 -【 梵谷•鳶尾花 】3D多層次浮雕夜光燙金拼圖 暨 清水模預鑄版畫,https://www.zeczec.com//projects/hdh-iris,307421,126,2022/08/04 11:20,2022/09/30 23:59
Fefe☁️夢享鍋｜天然陶瓷不沾鐵鍋，台灣製造30年製鍋工藝，實現天然無毒x料理不沾的夢想,https://www.zeczec.com//projects/Fefe-POT,327800,120,2022/07/26 10:30,2022/09/09 23:59
CubieLand 邊看邊說聽故事，親子共讀新體驗。孩子好眠、父母舒心的睡前繪本投影機！,https://www.zeczec.com//projects/cubieland,1037530,106,2022/07/26 10:00,2022/09/10 23:59
【倍而冕益 Plus｜三合一乳鐵益菌】乳鐵蛋白、益生菌、維生素 D3 冕益金三角，非常時期提升自我保護力！,https://www.zeczec.com//projects/biomainpower,127680,21,2022/08/23 11:00,2022/09/23 23:59
早鳥優惠倒數！Lazervida 10W 雷射雕刻機 ► 超高效能，「輕」民登場！​,https://www.zeczec.com//projects/Lazervida,7380546,577,2022/08/10 12:00,2022/09/24 23:59
MECOVER Pro 極限傘｜征服環境、地域、四季，針對台灣人設計，史上最強悍折傘,https://www.zeczec.com//projects/mecover-pro,1222995,580,2022/07/05 21:00,2022/09/05 23:59
【A\O小帥勾】A\O idea 掛勾＋充電線理線器＋萬向球頭擴充＝3合1多功能車把掛勾,https://www.zeczec.com//projects/ao-idea,57650,71,2022/08/17 21:00,2022/09/30 23:59
紀錄片電影《大俠胡金銓》講座及手繪海報展集資計畫：邀請您與大俠同行,https://www.zeczec.com//projects/thekingofwuxia,2600,5,2022/08/15 21:00,2022/09/30 23:59
